                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  1.075,                0.54168,                 1.2685,                0.97314,                0.94918,                0.97944,                0.64764,                 1.2094,                0.48277,                  1.514,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.0408,                0.51974,                 1.2248,                0.97574,                 0.9738,                0.98672,                0.65041,                 1.1986,                   0.45,                 1.5136,               0.001571,               0.001571,               0.001571
                     67,                 1.0497,                0.54002,                 1.2483,                0.97593,                0.96507,                0.98122,                 0.6463,                  1.209,                0.47669,                 1.5274,              0.0015644,              0.0015644,              0.0015644
                     68,                  1.085,                 0.5244,                 1.2568,                 0.9733,                0.95511,                0.97938,                0.66461,                 1.2095,                0.47427,                  1.507,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.0243,                0.51878,                 1.2333,                0.96876,                  0.948,                 0.9648,                0.63062,                 1.2352,                0.51904,                 1.5406,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.0562,                0.52901,                 1.2435,                0.97159,                0.95633,                0.97258,                0.64082,                 1.2368,                0.47211,                 1.5694,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.0836,                0.53258,                 1.2506,                0.98557,                0.95197,                0.97751,                0.62828,                 1.2512,                0.50473,                 1.5493,               0.001538,               0.001538,               0.001538
                     72,                 1.0721,                0.54733,                 1.2509,                0.98179,                0.94199,                0.97617,                0.63676,                 1.2604,                0.51019,                 1.5545,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.0308,                0.51283,                 1.2387,                0.97959,                0.94323,                0.95573,                0.60988,                 1.2423,                 0.5154,                  1.574,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.0517,                0.53428,                 1.2581,                0.97338,                 0.9476,                0.97374,                 0.6551,                 1.2039,                0.48449,                 1.5173,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.0651,                0.54511,                 1.2617,                0.97726,                0.93842,                 0.9752,                0.63856,                 1.2367,                0.50143,                 1.5575,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.0695,                0.53447,                 1.2493,                0.98444,                0.94323,                 0.9801,                0.64151,                 1.2756,                0.48934,                 1.5685,               0.001505,               0.001505,               0.001505
                     77,                  1.052,                0.53184,                 1.2459,                0.97767,                0.95607,                0.98639,                0.65382,                 1.2785,                 0.5161,                 1.5663,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.0367,                0.52596,                 1.2348,                0.97767,                0.95612,                0.98677,                0.66895,                 1.2088,                0.46672,                 1.5413,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.0243,                0.51351,                 1.2406,                0.97696,                0.93886,                0.97122,                0.61814,                 1.3031,                0.49596,                 1.6111,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.0472,                0.51396,                 1.2489,                0.98941,                0.95633,                0.97879,                 0.6424,                 1.2075,                0.49114,                 1.5281,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.0192,                0.51281,                 1.2157,                 0.9788,                0.95197,                0.97863,                0.66111,                 1.2334,                0.46166,                 1.5503,               0.001472,               0.001472,               0.001472
                     82,                 1.0452,                0.52234,                 1.2394,                 0.9799,                0.95197,                 0.9752,                0.65441,                 1.2106,                0.47754,                 1.5123,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.0356,                0.52128,                 1.2422,                 0.9806,                 0.9476,                0.97027,                0.64943,                 1.1932,                0.48089,                 1.5131,              0.0014588,              0.0014588,              0.0014588
                     84,                0.99062,                 0.5023,                 1.2205,                0.97688,                0.96507,                 0.9812,                0.66032,                 1.2143,                 0.4757,                 1.5463,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.0184,                0.50943,                 1.2169,                0.97333,                0.95633,                 0.9822,                0.65638,                 1.2458,                0.47497,                 1.5654,              0.0014456,              0.0014456,              0.0014456
                     86,                0.97913,                0.49457,                 1.1965,                0.97721,                0.95633,                0.98521,                0.66612,                 1.2294,                0.49266,                 1.5728,               0.001439,               0.001439,               0.001439
                     87,                 1.0107,                0.50307,                 1.2156,                0.99545,                0.95562,                0.98403,                0.65677,                 1.2221,                0.47184,                 1.5572,              0.0014324,              0.0014324,              0.0014324
                     88,                0.98461,                0.50722,                 1.2219,                0.98147,                0.95197,                0.97978,                 0.6424,                 1.2533,                0.48884,                 1.5646,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.0019,                0.50558,                 1.2258,                0.98115,                0.95197,                0.98011,                0.65833,                 1.2226,                0.48243,                 1.5633,              0.0014192,              0.0014192,              0.0014192
                     90,                0.98088,                0.49502,                 1.2084,                0.99272,                0.95633,                 0.9881,                 0.6371,                 1.2901,                0.50837,                 1.6055,              0.0014126,              0.0014126,              0.0014126
                     91,                0.99866,                 0.4954,                 1.2234,                 0.9731,                0.94781,                0.97942,                0.65692,                 1.2074,                0.47044,                 1.5282,               0.001406,               0.001406,               0.001406
                     92,                0.95261,                0.47678,                 1.1863,                0.97767,                  0.956,                0.98293,                0.66288,                  1.233,                0.47321,                  1.559,              0.0013994,              0.0013994,              0.0013994
                     93,                0.96473,                0.48782,                  1.211,                0.98043,                 0.9476,                0.97707,                0.65939,                 1.2541,                0.50923,                 1.5609,              0.0013928,              0.0013928,              0.0013928
                     94,                0.95662,                0.48001,                 1.2043,                0.98494,                0.95197,                0.98704,                0.65839,                 1.2594,                0.48731,                 1.5776,              0.0013862,              0.0013862,              0.0013862
                     95,                0.94125,                0.48629,                 1.1799,                0.98557,                0.94323,                0.97761,                0.64294,                 1.2698,                0.49343,                 1.6086,              0.0013796,              0.0013796,              0.0013796
                     96,                0.94788,                0.48624,                 1.1844,                0.97193,                0.93886,                0.96571,                0.64805,                 1.2034,                0.49168,                 1.5482,               0.001373,               0.001373,               0.001373
                     97,                0.92965,                0.47247,                 1.1773,                0.98188,                0.94672,                0.97287,                0.65554,                  1.195,                0.45155,                 1.5106,              0.0013664,              0.0013664,              0.0013664
